Number,Latitude,Longitude,Percentage
0,13.148993253707886,77.34261274337769,0.24
1,13.100327253341675,77.34261274337769,3.75
2,13.094919919967651,77.34261274337769,5.15
3,13.089512586593628,77.34261274337769,4.22
4,13.084105253219604,77.34261274337769,4.31
5,13.078697919845581,77.34261274337769,2.74
6,13.073290586471558,77.34261274337769,4.26
7,13.067883253097534,77.34261274337769,1.91
8,13.06247591972351,77.34261274337769,1.04
9,13.057068586349487,77.34261274337769,4.06
10,13.051661252975464,77.34261274337769,7.36
11,13.143585920333862,77.34261274337769,8.41
12,13.04625391960144,77.34261274337769,8.1
13,13.040846586227415,77.34261274337769,1.86
14,13.035439252853394,77.34261274337769,1.03
15,13.03003191947937,77.34261274337769,0.95
16,13.024624586105347,77.34261274337769,3.34
17,13.0138099193573,77.34261274337769,0.49
18,13.008402585983276,77.34261274337769,0.52
19,13.002995252609253,77.34261274337769,0.67
20,12.99758791923523,77.34261274337769,0.12
21,13.138178586959839,77.34261274337769,12.5
22,12.992180585861206,77.34261274337769,8.87
23,12.986773252487184,77.34261274337769,26.47
24,12.98136591911316,77.34261274337769,4.81
25,12.975958585739136,77.34261274337769,15.55
26,12.970551252365112,77.34261274337769,43.96
27,12.965143918991089,77.34261274337769,18.49
28,12.959736585617065,77.34261274337769,1.2
29,12.954329252243042,77.34261274337769,0.1
30,12.948921918869019,77.34261274337769,0.56
31,12.943514585494995,77.34261274337769,0.13
32,13.132771253585815,77.34261274337769,2.2
33,12.938107252120972,77.34261274337769,0.07
34,12.927292585372925,77.34261274337769,0.12
35,12.921885251998901,77.34261274337769,0.04
36,12.916477918624878,77.34261274337769,0.32
37,12.911070585250854,77.34261274337769,0.15
38,12.905663251876831,77.34261274337769,0.01
39,12.900255918502808,77.34261274337769,0.0
40,12.894848585128784,77.34261274337769,0.07
41,12.88944125175476,77.34261274337769,0.01
42,13.127363920211792,77.34261274337769,1.81
43,12.884033918380736,77.34261274337769,16.8
44,12.878626585006714,77.34261274337769,4.32
45,12.87321925163269,77.34261274337769,0.09
46,12.867811918258667,77.34261274337769,0.2
47,12.862404584884644,77.34261274337769,0.23
48,12.85699725151062,77.34261274337769,1.27
49,12.851589918136597,77.34261274337769,4.19
50,12.846182584762573,77.34261274337769,0.86
51,12.835367918014526,77.34261274337769,1.39
52,13.121956586837769,77.34261274337769,0.78
53,12.829960584640505,77.34261274337769,1.86
54,12.82455325126648,77.34261274337769,0.28
55,12.819145917892456,77.34261274337769,2.95
56,12.813738584518433,77.34261274337769,3.48
57,12.80833125114441,77.34261274337769,1.38
58,12.802923917770386,77.34261274337769,1.64
59,12.797516584396362,77.34261274337769,1.09
60,12.792109251022339,77.34261274337769,0.7
61,12.786701917648315,77.34261274337769,2.96
62,12.781294584274292,77.34261274337769,2.25
63,13.116549253463745,77.34261274337769,5.35
64,12.775887250900269,77.34261274337769,5.99
65,12.770479917526245,77.34261274337769,4.33
