Area,Percentage,xval,yval
blr_1-1.jpg,0,1,1
blr_1-10.jpg,0,1,10
blr_1-11.jpg,0,1,11
blr_1-12.jpg,0,1,12
blr_1-13.jpg,0,1,13
blr_1-14.jpg,0,1,14
blr_1-15.jpg,0,1,15
blr_1-16.jpg,0,1,16
blr_1-17.jpg,0,1,17
blr_1-18.jpg,0,1,18
blr_1-19.jpg,0,1,19
blr_1-2.jpg,0,1,2
blr_1-20.jpg,0,1,20
blr_1-21.jpg,0,1,21
blr_1-22.jpg,0,1,22
blr_1-23.jpg,0,1,23
blr_1-24.jpg,0,1,24
blr_1-25.jpg,0,1,25
blr_75-64.jpg,0,75,64
blr_75-65.jpg,0,75,65
blr_75-66.jpg,0,75,66
blr_75-7.jpg,0,75,7
blr_75-8.jpg,0,75,8
blr_75-9.jpg,0,75,9
blr_76-1.jpg,0,76,1
blr_76-10.jpg,0,76,10
blr_76-11.jpg,0,76,11
blr_76-12.jpg,0,76,12
blr_76-13.jpg,0,76,13
blr_76-14.jpg,0,76,14
blr_76-15.jpg,0,76,15
blr_76-16.jpg,0,76,16
blr_76-17.jpg,0,76,17
blr_76-18.jpg,0,76,18
blr_76-19.jpg,0,76,19
blr_76-2.jpg,0,76,2
blr_76-20.jpg,0,76,20
blr_76-21.jpg,0,76,21
blr_76-22.jpg,0,76,22
blr_76-23.jpg,0,76,23
blr_76-24.jpg,0,76,24
blr_76-25.jpg,0,76,25
blr_76-26.jpg,0,76,26
blr_76-27.jpg,0,76,27
blr_76-28.jpg,0,76,28
blr_76-29.jpg,0,76,29
blr_76-3.jpg,0,76,3
blr_76-30.jpg,0,76,30
blr_76-31.jpg,100,76,31
blr_76-32.jpg,0,76,32
blr_74-33.jpg,0,74,33
blr_74-34.jpg,0,74,34
blr_74-35.jpg,0,74,35
blr_74-36.jpg,0,74,36
blr_74-37.jpg,0,74,37
blr_74-38.jpg,0,74,38
blr_74-39.jpg,0,74,39
blr_74-4.jpg,0,74,4
blr_74-40.jpg,0,74,40
blr_74-41.jpg,0,74,41
blr_74-42.jpg,0,74,42
blr_74-43.jpg,0,74,43
blr_74-44.jpg,0,74,44
blr_74-45.jpg,0,74,45
blr_74-46.jpg,0,74,46
blr_74-47.jpg,0,74,47
blr_74-48.jpg,0,74,48
blr_74-49.jpg,0,74,49
blr_74-5.jpg,0,74,5
blr_74-50.jpg,0,74,50
blr_74-51.jpg,0,74,51
blr_74-52.jpg,0,74,52
blr_74-53.jpg,0,74,53
blr_74-54.jpg,0,74,54
blr_74-55.jpg,0,74,55
blr_74-56.jpg,0,74,56
blr_74-57.jpg,0,74,57
blr_74-58.jpg,0,74,58
blr_74-59.jpg,0,74,59
blr_74-6.jpg,0,74,6
blr_74-60.jpg,0,74,60
blr_74-61.jpg,0,74,61
blr_74-62.jpg,0,74,62
blr_72-18.jpg,0,72,18
blr_72-19.jpg,0,72,19
blr_72-2.jpg,0,72,2
blr_72-20.jpg,0,72,20
blr_72-21.jpg,0,72,21
blr_72-22.jpg,0,72,22
blr_72-23.jpg,0,72,23
blr_72-24.jpg,0,72,24
blr_72-25.jpg,0,72,25
blr_72-26.jpg,0,72,26
blr_72-27.jpg,0,72,27
blr_72-28.jpg,0,72,28
blr_72-29.jpg,0,72,29
blr_72-3.jpg,0,72,3
blr_72-30.jpg,0,72,30
blr_72-31.jpg,0,72,31
blr_72-32.jpg,0,72,32
blr_1-26.jpg,0,1,26
blr_1-43.jpg,0,1,43
blr_1-65.jpg,0,1,65
blr_10-36.jpg,0,10,36
blr_10-56.jpg,0,10,56
blr_11-15.jpg,0,11,15
blr_11-34.jpg,0,11,34
blr_11-59.jpg,0,11,59
blr_12-18.jpg,0,12,18
blr_12-38.jpg,0,12,38
blr_12-8.jpg,0,12,8
blr_13-25.jpg,0,13,25
blr_13-45.jpg,0,13,45
blr_14-13.jpg,0,14,13
blr_14-32.jpg,0,14,32
blr_14-53.jpg,0,14,53
blr_15-12.jpg,0,15,12
blr_69-62.jpg,0,69,62
blr_69-63.jpg,0,69,63
blr_69-64.jpg,0,69,64
blr_69-65.jpg,0,69,65
blr_69-66.jpg,0,69,66
blr_69-7.jpg,0,69,7
blr_69-8.jpg,0,69,8
blr_69-9.jpg,0,69,9
blr_7-1.jpg,0,7,1
blr_7-10.jpg,0,7,10
blr_7-11.jpg,0,7,11
blr_7-12.jpg,0,7,12
blr_7-13.jpg,0,7,13
blr_7-14.jpg,0,7,14
blr_7-15.jpg,0,7,15
blr_7-16.jpg,0,7,16
blr_7-17.jpg,0,7,17
blr_7-18.jpg,0,7,18
blr_7-19.jpg,0,7,19
blr_7-2.jpg,0,7,2
blr_73-25.jpg,0,73,25
blr_73-26.jpg,0,73,26
blr_73-27.jpg,0,73,27
blr_73-28.jpg,0,73,28
blr_73-29.jpg,0,73,29
blr_73-3.jpg,0,73,3
blr_73-30.jpg,0,73,30
blr_73-31.jpg,0,73,31
blr_73-32.jpg,0,73,32
blr_73-33.jpg,0,73,33
blr_73-34.jpg,0,73,34
blr_73-35.jpg,0,73,35
blr_73-36.jpg,0,73,36
blr_73-37.jpg,0,73,37
blr_73-38.jpg,100,73,38
blr_73-39.jpg,0,73,39
blr_73-4.jpg,0,73,4
blr_73-40.jpg,0,73,40
blr_66-53.jpg,0,66,53
blr_66-54.jpg,0,66,54
blr_66-55.jpg,0,66,55
blr_66-56.jpg,0,66,56
blr_66-57.jpg,0,66,57
blr_66-58.jpg,0,66,58
blr_66-59.jpg,0,66,59
blr_66-6.jpg,0,66,6
blr_66-60.jpg,0,66,60
blr_66-61.jpg,0,66,61
blr_66-62.jpg,0,66,62
blr_66-63.jpg,0,66,63
blr_66-64.jpg,100,66,64
blr_66-65.jpg,0,66,65
blr_66-66.jpg,0,66,66
blr_66-7.jpg,0,66,7
blr_66-8.jpg,0,66,8
blr_66-9.jpg,0,66,9
blr_67-1.jpg,0,67,1
blr_75-32.jpg,0,75,32
blr_75-33.jpg,0,75,33
blr_75-34.jpg,0,75,34
blr_75-35.jpg,0,75,35
blr_75-36.jpg,0,75,36
blr_75-37.jpg,0,75,37
blr_75-38.jpg,0,75,38
blr_75-39.jpg,0,75,39
blr_75-4.jpg,0,75,4
blr_75-40.jpg,0,75,40
blr_75-41.jpg,0,75,41
blr_75-42.jpg,0,75,42
blr_75-43.jpg,0,75,43
blr_75-44.jpg,0,75,44
blr_75-45.jpg,0,75,45
blr_75-46.jpg,0,75,46
blr_75-47.jpg,0,75,47
blr_75-48.jpg,0,75,48
blr_75-49.jpg,0,75,49
blr_75-5.jpg,0,75,5
blr_75-50.jpg,0,75,50
blr_75-51.jpg,0,75,51
blr_75-52.jpg,0,75,52
blr_75-53.jpg,0,75,53
blr_75-54.jpg,0,75,54
blr_75-55.jpg,0,75,55
blr_75-56.jpg,0,75,56
blr_75-57.jpg,0,75,57
blr_75-58.jpg,0,75,58
blr_75-59.jpg,0,75,59
blr_75-6.jpg,0,75,6
blr_75-60.jpg,0,75,60
blr_75-61.jpg,0,75,61
blr_75-62.jpg,0,75,62
blr_64-33.jpg,0,64,33
blr_64-34.jpg,0,64,34
blr_64-35.jpg,0,64,35
blr_64-36.jpg,0,64,36
blr_64-37.jpg,0,64,37
blr_64-38.jpg,0,64,38
blr_64-39.jpg,0,64,39
blr_64-4.jpg,0,64,4
blr_64-40.jpg,0,64,40
blr_64-41.jpg,0,64,41
blr_64-42.jpg,0,64,42
blr_64-43.jpg,0,64,43
blr_64-44.jpg,0,64,44
blr_64-45.jpg,0,64,45
blr_64-46.jpg,0,64,46
blr_64-47.jpg,0,64,47
blr_64-48.jpg,0,64,48
blr_64-49.jpg,0,64,49
blr_64-5.jpg,0,64,5
blr_64-50.jpg,0,64,50
blr_60-12.jpg,0,60,12
blr_60-13.jpg,0,60,13
blr_60-14.jpg,0,60,14
blr_60-15.jpg,0,60,15
blr_60-16.jpg,0,60,16
blr_60-17.jpg,0,60,17
blr_60-18.jpg,0,60,18
blr_60-19.jpg,0,60,19
blr_60-2.jpg,0,60,2
blr_60-20.jpg,0,60,20
blr_60-21.jpg,0,60,21
blr_60-22.jpg,0,60,22
blr_60-23.jpg,0,60,23
blr_60-24.jpg,0,60,24
blr_60-25.jpg,0,60,25
blr_60-26.jpg,0,60,26
blr_60-27.jpg,0,60,27
blr_60-28.jpg,0,60,28
blr_60-29.jpg,0,60,29
blr_60-3.jpg,0,60,3
blr_60-30.jpg,0,60,30
blr_60-31.jpg,0,60,31
