Area,Percentage,xval,yval
blr_1-1.tif,0,1,1
blr_1-10.tif,0,1,10
blr_1-11.tif,0,1,11
blr_1-12.tif,0,1,12
blr_1-13.tif,0,1,13
blr_1-14.tif,0,1,14
blr_1-15.tif,0,1,15
blr_1-16.tif,0,1,16
blr_1-17.tif,0,1,17
blr_1-18.tif,0,1,18
blr_1-19.tif,0,1,19
blr_1-2.tif,0,1,2
blr_1-20.tif,0,1,20
blr_1-21.tif,0,1,21
blr_1-22.tif,0,1,22
blr_1-23.tif,0,1,23
blr_1-24.tif,0,1,24
blr_1-26.tif,0,1,26
blr_1-27.tif,0,1,27
blr_1-28.tif,0,1,28
blr_1-29.tif,0,1,29
blr_1-3.tif,0,1,3
blr_1-30.tif,0,1,30
blr_1-31.tif,0,1,31
blr_1-32.tif,0,1,32
blr_1-33.tif,0,1,33
blr_1-34.tif,0,1,34
blr_1-35.tif,0,1,35
blr_1-36.tif,0,1,36
blr_1-37.tif,0,1,37
blr_1-38.tif,0,1,38
blr_1-39.tif,0,1,39
blr_1-4.tif,0,1,4
blr_1-40.tif,0,1,40
blr_1-42.tif,0,1,42
blr_1-43.tif,0,1,43
blr_1-44.tif,0,1,44
blr_1-45.tif,0,1,45
blr_1-46.tif,0,1,46
blr_1-47.tif,0,1,47
blr_1-48.tif,0,1,48
blr_1-49.tif,0,1,49
blr_1-5.tif,0,1,5
blr_1-50.tif,0,1,50
blr_1-51.tif,0,1,51
blr_1-52.tif,0,1,52
blr_1-53.tif,0,1,53
blr_1-54.tif,0,1,54
blr_1-55.tif,0,1,55
blr_1-56.tif,0,1,56
blr_1-57.tif,0,1,57
blr_1-59.tif,0,1,59
blr_1-6.tif,0,1,6
blr_1-60.tif,0,1,60
blr_1-61.tif,0,1,61
blr_1-62.tif,0,1,62
blr_1-63.tif,0,1,63
blr_1-64.tif,0,1,64
blr_1-65.tif,0,1,65
blr_1-66.tif,0,1,66
blr_1-67.tif,0,1,67
blr_1-68.tif,0,1,68
blr_1-69.tif,0,1,69
blr_1-7.tif,0,1,7
blr_1-70.tif,0,1,70
blr_1-71.tif,0,1,71
blr_1-72.tif,0,1,72
blr_1-8.tif,0,1,8
blr_1-9.tif,0,1,9
blr_2-10.tif,0,2,10
blr_2-11.tif,0,2,11
blr_2-12.tif,0,2,12
blr_2-13.tif,0,2,13
blr_2-14.tif,0,2,14
blr_2-15.tif,0,2,15
blr_2-16.tif,0,2,16
blr_2-17.tif,0,2,17
blr_2-18.tif,0,2,18
blr_2-19.tif,0,2,19
blr_2-2.tif,0,2,2
blr_2-20.tif,0,2,20
blr_2-21.tif,0,2,21
blr_2-22.tif,0,2,22
blr_2-23.tif,0,2,23
blr_2-24.tif,0,2,24
blr_2-25.tif,0,2,25
blr_2-27.tif,0,2,27
blr_2-28.tif,0,2,28
blr_2-29.tif,0,2,29
blr_2-3.tif,0,2,3
blr_2-30.tif,0,2,30
blr_2-31.tif,0,2,31
blr_2-32.tif,0,2,32
blr_2-33.tif,0,2,33
blr_2-34.tif,0,2,34
blr_2-35.tif,0,2,35
blr_2-36.tif,0,2,36
blr_2-37.tif,0,2,37
blr_2-38.tif,0,2,38
blr_2-39.tif,0,2,39
blr_2-4.tif,0,2,4
blr_2-40.tif,0,2,40
blr_2-41.tif,0,2,41
blr_1-25.tif,0,1,25
blr_1-41.tif,0,1,41
blr_1-58.tif,0,1,58
blr_10-1.tif,0,10,1
blr_10-26.tif,0,10,26
blr_10-42.tif,0,10,42
blr_10-59.tif,0,10,59
blr_11-1.tif,0,11,1
blr_11-26.tif,0,11,26
blr_11-42.tif,0,11,42
blr_11-59.tif,0,11,59
blr_12-1.tif,0,12,1
blr_12-26.tif,0,12,26
blr_12-42.tif,0,12,42
blr_12-59.tif,0,12,59
blr_13-1.tif,0,13,1
blr_2-43.tif,0,2,43
blr_2-44.tif,0,2,44
blr_2-45.tif,0,2,45
blr_2-46.tif,0,2,46
blr_2-47.tif,0,2,47
blr_2-48.tif,0,2,48
blr_2-49.tif,0,2,49
blr_2-5.tif,0,2,5
blr_2-50.tif,0,2,50
blr_2-51.tif,0,2,51
blr_2-52.tif,0,2,52
blr_2-53.tif,0,2,53
blr_2-54.tif,0,2,54
blr_2-55.tif,0,2,55
blr_2-56.tif,0,2,56
blr_2-57.tif,0,2,57
blr_2-58.tif,0,2,58
blr_2-6.tif,0,2,6
blr_2-60.tif,0,2,60
blr_2-61.tif,0,2,61
blr_2-62.tif,0,2,62
blr_2-63.tif,0,2,63
blr_2-64.tif,0,2,64
blr_2-65.tif,0,2,65
blr_2-66.tif,0,2,66
blr_2-67.tif,0,2,67
blr_2-68.tif,0,2,68
blr_2-69.tif,0,2,69
blr_2-7.tif,0,2,7
blr_2-70.tif,0,2,70
blr_2-71.tif,0,2,71
blr_2-72.tif,0,2,72
blr_2-8.tif,0,2,8
blr_2-9.tif,0,2,9
blr_20-1.tif,0,20,1
blr_3-11.tif,0,3,11
blr_3-12.tif,0,3,12
blr_3-13.tif,0,3,13
blr_3-14.tif,0,3,14
blr_3-15.tif,0,3,15
blr_3-16.tif,0,3,16
blr_3-17.tif,0,3,17
blr_3-18.tif,0,3,18
blr_3-19.tif,0,3,19
blr_3-2.tif,0,3,2
blr_3-20.tif,0,3,20
blr_3-21.tif,0,3,21
blr_3-22.tif,0,3,22
blr_3-23.tif,0,3,23
blr_3-24.tif,0,3,24
blr_3-25.tif,0,3,25
blr_3-26.tif,0,3,26
blr_3-28.tif,0,3,28
blr_3-29.tif,0,3,29
blr_3-3.tif,0,3,3
blr_3-30.tif,0,3,30
blr_3-31.tif,0,3,31
blr_3-32.tif,0,3,32
blr_3-33.tif,0,3,33
blr_3-34.tif,0,3,34
blr_3-35.tif,0,3,35
blr_3-36.tif,0,3,36
blr_3-37.tif,0,3,37
blr_3-38.tif,0,3,38
blr_3-39.tif,0,3,39
blr_3-4.tif,0,3,4
blr_3-40.tif,0,3,40
blr_3-41.tif,0,3,41
blr_3-42.tif,0,3,42
blr_3-44.tif,0,3,44
blr_3-45.tif,0,3,45
blr_3-46.tif,0,3,46
blr_3-47.tif,0,3,47
blr_3-48.tif,0,3,48
blr_3-49.tif,0,3,49
blr_3-5.tif,0,3,5
blr_3-50.tif,0,3,50
blr_3-51.tif,0,3,51
blr_3-52.tif,0,3,52
blr_3-53.tif,0,3,53
blr_3-54.tif,0,3,54
blr_3-55.tif,0,3,55
blr_3-56.tif,0,3,56
blr_3-57.tif,0,3,57
blr_3-58.tif,0,3,58
blr_3-59.tif,0,3,59
blr_3-60.tif,0,3,60
blr_3-61.tif,0,3,61
blr_3-62.tif,0,3,62
blr_3-63.tif,0,3,63
blr_3-64.tif,0,3,64
blr_3-65.tif,0,3,65
blr_3-66.tif,0,3,66
blr_3-67.tif,0,3,67
blr_3-68.tif,0,3,68
blr_3-69.tif,0,3,69
blr_3-7.tif,0,3,7
blr_3-70.tif,0,3,70
blr_3-71.tif,0,3,71
blr_3-72.tif,0,3,72
blr_3-8.tif,0,3,8
blr_3-9.tif,0,3,9
blr_30-1.tif,0,30,1
blr_30-10.tif,0,30,10
blr_4-12.tif,0,4,12
blr_4-13.tif,0,4,13
blr_4-14.tif,0,4,14
blr_4-15.tif,0,4,15
blr_4-16.tif,0,4,16
blr_4-17.tif,0,4,17
blr_4-18.tif,0,4,18
blr_4-19.tif,0,4,19
blr_4-2.tif,0,4,2
blr_4-20.tif,0,4,20
blr_4-21.tif,0,4,21
blr_4-22.tif,0,4,22
blr_4-23.tif,0,4,23
blr_4-24.tif,0,4,24
blr_4-25.tif,0,4,25
blr_4-26.tif,0,4,26
blr_4-27.tif,0,4,27
blr_4-29.tif,0,4,29
blr_4-3.tif,0,4,3
blr_4-30.tif,0,4,30
blr_4-31.tif,0,4,31
blr_4-32.tif,0,4,32
blr_4-33.tif,0,4,33
blr_4-34.tif,0,4,34
blr_4-35.tif,0,4,35
blr_4-36.tif,0,4,36
blr_4-37.tif,0,4,37
blr_4-38.tif,0,4,38
blr_4-39.tif,0,4,39
blr_4-4.tif,0,4,4
blr_4-40.tif,0,4,40
blr_4-41.tif,0,4,41
blr_4-42.tif,0,4,42
blr_4-43.tif,0,4,43
blr_4-45.tif,0,4,45
blr_4-46.tif,0,4,46
blr_4-47.tif,0,4,47
blr_4-48.tif,0,4,48
blr_4-49.tif,0,4,49
blr_4-5.tif,0,4,5
blr_4-50.tif,0,4,50
blr_4-51.tif,0,4,51
blr_4-52.tif,0,4,52
blr_4-53.tif,0,4,53
blr_4-54.tif,0,4,54
blr_4-55.tif,0,4,55
blr_4-56.tif,0,4,56
blr_4-57.tif,0,4,57
blr_4-58.tif,0,4,58
blr_4-59.tif,0,4,59
blr_4-6.tif,0,4,6
blr_4-61.tif,0,4,61
blr_4-62.tif,0,4,62
blr_4-63.tif,0,4,63
blr_4-64.tif,0,4,64
blr_4-65.tif,0,4,65
blr_4-66.tif,0,4,66
blr_4-67.tif,0,4,67
blr_4-68.tif,0,4,68
blr_4-69.tif,0,4,69
blr_4-7.tif,0,4,7
blr_4-70.tif,0,4,70
blr_4-71.tif,0,4,71
blr_4-72.tif,0,4,72
blr_4-8.tif,0,4,8
blr_4-9.tif,0,4,9
blr_40-1.tif,0,40,1
blr_40-10.tif,0,40,10
blr_40-11.tif,0,40,11
blr_5-13.tif,0,5,13
blr_5-14.tif,0,5,14
blr_5-15.tif,0,5,15
blr_5-16.tif,0,5,16
blr_5-17.tif,0,5,17
blr_5-18.tif,0,5,18
blr_5-19.tif,0,5,19
blr_5-2.tif,0,5,2
blr_5-20.tif,0,5,20
blr_5-21.tif,0,5,21
blr_5-22.tif,0,5,22
blr_5-23.tif,0,5,23
blr_5-24.tif,0,5,24
blr_5-25.tif,0,5,25
blr_5-26.tif,0,5,26
blr_5-27.tif,0,5,27
blr_5-28.tif,0,5,28
blr_5-3.tif,0,5,3
blr_5-30.tif,0,5,30
blr_5-31.tif,0,5,31
blr_5-32.tif,0,5,32
blr_5-33.tif,0,5,33
blr_5-34.tif,0,5,34
blr_5-35.tif,0,5,35
blr_5-36.tif,0,5,36
blr_5-37.tif,0,5,37
blr_5-38.tif,0,5,38
blr_5-39.tif,0,5,39
blr_5-4.tif,0,5,4
blr_5-40.tif,0,5,40
blr_5-41.tif,0,5,41
blr_5-42.tif,0,5,42
blr_5-43.tif,0,5,43
blr_5-44.tif,0,5,44
blr_5-46.tif,0,5,46
blr_5-47.tif,0,5,47
blr_5-48.tif,0,5,48
blr_5-49.tif,0,5,49
blr_5-5.tif,0,5,5
blr_5-50.tif,0,5,50
blr_5-51.tif,0,5,51
blr_5-52.tif,0,5,52
blr_5-53.tif,0,5,53
blr_5-54.tif,0,5,54
blr_5-55.tif,0,5,55
blr_5-56.tif,0,5,56
blr_5-57.tif,0,5,57
blr_5-58.tif,0,5,58
blr_5-59.tif,0,5,59
blr_5-6.tif,0,5,6
blr_5-60.tif,0,5,60
blr_5-62.tif,0,5,62
blr_5-63.tif,0,5,63
blr_5-64.tif,0,5,64
blr_5-65.tif,0,5,65
blr_5-66.tif,0,5,66
blr_5-67.tif,0,5,67
blr_5-68.tif,0,5,68
blr_5-69.tif,0,5,69
blr_5-7.tif,0,5,7
blr_5-70.tif,0,5,70
blr_5-71.tif,0,5,71
blr_5-72.tif,0,5,72
blr_5-8.tif,0,5,8
blr_5-9.tif,0,5,9
blr_50-1.tif,0,50,1
blr_50-10.tif,0,50,10
blr_50-11.tif,0,50,11
blr_50-12.tif,0,50,12
blr_6-14.tif,0,6,14
blr_6-15.tif,0,6,15
blr_6-16.tif,0,6,16
blr_6-17.tif,0,6,17
blr_6-18.tif,0,6,18
blr_6-19.tif,0,6,19
blr_6-2.tif,0,6,2
blr_6-20.tif,0,6,20
blr_6-21.tif,0,6,21
blr_6-22.tif,0,6,22
blr_6-23.tif,0,6,23
blr_6-24.tif,0,6,24
blr_6-25.tif,0,6,25
blr_6-26.tif,0,6,26
blr_6-27.tif,0,6,27
blr_6-28.tif,0,6,28
blr_6-29.tif,0,6,29
blr_6-30.tif,0,6,30
blr_6-31.tif,0,6,31
blr_6-32.tif,0,6,32
blr_6-33.tif,0,6,33
blr_6-34.tif,0,6,34
blr_6-35.tif,0,6,35
blr_6-36.tif,0,6,36
blr_6-37.tif,0,6,37
blr_6-38.tif,0,6,38
blr_6-39.tif,0,6,39
blr_6-4.tif,0,6,4
blr_6-40.tif,0,6,40
blr_6-41.tif,0,6,41
blr_6-42.tif,0,6,42
blr_6-43.tif,0,6,43
blr_6-44.tif,0,6,44
blr_6-45.tif,0,6,45
blr_6-47.tif,0,6,47
blr_6-48.tif,0,6,48
blr_6-49.tif,0,6,49
blr_6-5.tif,0,6,5
blr_6-50.tif,0,6,50
blr_6-51.tif,0,6,51
blr_6-52.tif,0,6,52
blr_6-53.tif,0,6,53
blr_6-54.tif,0,6,54
blr_6-55.tif,0,6,55
blr_6-56.tif,0,6,56
blr_6-57.tif,0,6,57
blr_6-58.tif,0,6,58
