Area,Percentage,xval,yval
blr_1-1.jpg,0.39,1,1
blr_1-10.jpg,10.38,1,10
blr_1-11.jpg,10.14,1,11
blr_1-12.jpg,1.66,1,12
blr_1-13.jpg,2.94,1,13
blr_1-14.jpg,1.37,1,14
blr_1-15.jpg,0.06,1,15
blr_1-16.jpg,2.31,1,16
blr_1-17.jpg,5.43,1,17
blr_1-18.jpg,9.3,1,18
blr_1-19.jpg,2.49,1,19
blr_1-2.jpg,0.45,1,2
blr_1-20.jpg,5.96,1,20
blr_1-21.jpg,4.4,1,21
blr_1-22.jpg,0.22,1,22
blr_1-23.jpg,1.38,1,23
blr_1-24.jpg,2.77,1,24
blr_1-25.jpg,1.26,1,25
blr_1-26.jpg,6.38,1,26
blr_1-27.jpg,2.43,1,27
blr_1-28.jpg,1.53,1,28
blr_1-29.jpg,1.07,1,29
blr_1-3.jpg,3.5,1,3
blr_1-30.jpg,3.19,1,30
blr_1-31.jpg,5.2,1,31
blr_1-32.jpg,0.5,1,32
blr_1-33.jpg,2.9,1,33
blr_1-34.jpg,2.06,1,34
blr_1-35.jpg,0.38,1,35
blr_1-36.jpg,5.02,1,36
blr_1-37.jpg,1.69,1,37
blr_1-38.jpg,0.61,1,38
blr_1-39.jpg,0.58,1,39
blr_1-4.jpg,8.95,1,4
blr_1-40.jpg,4.88,1,40
blr_1-41.jpg,0.96,1,41
blr_1-42.jpg,3.3,1,42
blr_1-43.jpg,2.25,1,43
blr_1-44.jpg,6.84,1,44
blr_1-45.jpg,0.9,1,45
blr_1-46.jpg,2.24,1,46
blr_1-47.jpg,0.78,1,47
blr_1-48.jpg,1.73,1,48
blr_1-49.jpg,1.35,1,49
blr_1-5.jpg,5.53,1,5
blr_1-50.jpg,1.46,1,50
blr_1-51.jpg,1.77,1,51
blr_1-52.jpg,0.56,1,52
blr_1-53.jpg,0.32,1,53
blr_1-54.jpg,8.12,1,54
blr_1-55.jpg,3.51,1,55
blr_1-56.jpg,1.49,1,56
blr_1-57.jpg,4.37,1,57
blr_1-58.jpg,2.41,1,58
blr_1-59.jpg,0.11,1,59
blr_1-6.jpg,4.76,1,6
blr_1-60.jpg,0.11,1,60
blr_1-61.jpg,2.28,1,61
blr_1-62.jpg,5.46,1,62
blr_1-63.jpg,21.88,1,63
blr_1-64.jpg,86.49,1,64
blr_1-65.jpg,58.31,1,65
blr_1-66.jpg,14.6,1,66
blr_1-7.jpg,5.67,1,7
blr_1-8.jpg,1.73,1,8
blr_1-9.jpg,1.41,1,9
blr_10-1.jpg,1.84,10,1
blr_10-10.jpg,1.96,10,10
blr_10-11.jpg,7.67,10,11
blr_10-12.jpg,8.73,10,12
blr_10-13.jpg,8.78,10,13
blr_10-14.jpg,7.65,10,14
blr_10-15.jpg,0.39,10,15
blr_10-16.jpg,0.86,10,16
blr_10-17.jpg,3.24,10,17
blr_10-18.jpg,6.13,10,18
blr_10-19.jpg,6.9,10,19
blr_10-2.jpg,5.41,10,2
blr_10-20.jpg,1.47,10,20
blr_10-21.jpg,0.31,10,21
blr_10-22.jpg,2.74,10,22
blr_10-23.jpg,4.31,10,23
blr_10-24.jpg,3.03,10,24
blr_10-25.jpg,0.48,10,25
blr_10-26.jpg,3.58,10,26
blr_10-27.jpg,3.66,10,27
blr_10-28.jpg,2.98,10,28
blr_10-29.jpg,12.8,10,29
blr_10-3.jpg,1.71,10,3
blr_10-30.jpg,25.23,10,30
blr_10-31.jpg,7.7,10,31
blr_10-32.jpg,2.83,10,32
blr_10-33.jpg,13.18,10,33
blr_10-34.jpg,1.59,10,34
blr_10-35.jpg,0.64,10,35
blr_10-36.jpg,10.71,10,36
blr_10-37.jpg,8.09,10,37
blr_10-38.jpg,7.92,10,38
blr_10-39.jpg,5.41,10,39
blr_10-4.jpg,0.24,10,4
blr_10-40.jpg,13.73,10,40
blr_10-41.jpg,4.51,10,41
blr_10-42.jpg,5.88,10,42
blr_10-43.jpg,5.44,10,43
blr_10-44.jpg,7.35,10,44
blr_10-45.jpg,2.65,10,45
blr_10-46.jpg,3.53,10,46
blr_10-47.jpg,5.7,10,47
blr_10-48.jpg,5.54,10,48
blr_10-49.jpg,5.8,10,49
blr_10-5.jpg,2.06,10,5
blr_10-50.jpg,14.84,10,50
blr_10-51.jpg,24.64,10,51
blr_10-52.jpg,12.29,10,52
blr_10-53.jpg,4.29,10,53
blr_10-54.jpg,3.38,10,54
blr_10-55.jpg,0.5,10,55
blr_10-56.jpg,4.58,10,56
blr_10-57.jpg,8.41,10,57
blr_10-58.jpg,6.93,10,58
blr_10-59.jpg,2.94,10,59
blr_10-6.jpg,6.93,10,6
blr_10-60.jpg,4.84,10,60
blr_10-61.jpg,1.37,10,61
blr_10-62.jpg,2.51,10,62
blr_10-63.jpg,5.92,10,63
blr_10-64.jpg,1.68,10,64
blr_10-65.jpg,2.94,10,65
blr_10-66.jpg,5.37,10,66
blr_10-7.jpg,1.28,10,7
blr_10-8.jpg,3.37,10,8
blr_10-9.jpg,3.55,10,9
blr_11-1.jpg,7.65,11,1
blr_11-10.jpg,5.5,11,10
blr_11-11.jpg,0.74,11,11
