Image,percentage
blr_1-1.jpg,0.39
blr_1-10.jpg,9.23
blr_1-11.jpg,9.24
blr_1-12.jpg,1.12
blr_1-13.jpg,2.01
blr_1-14.jpg,1.28
blr_1-15.jpg,0.03
blr_1-16.jpg,2.21
blr_1-17.jpg,5.06
blr_1-18.jpg,8.73
blr_1-19.jpg,2.43
blr_1-2.jpg,0.31
blr_1-20.jpg,5.61
blr_1-21.jpg,4.08
blr_1-22.jpg,0.22
blr_1-23.jpg,1.37
blr_1-24.jpg,2.56
blr_1-25.jpg,1.19
blr_75-64.jpg,0.88
blr_75-65.jpg,2.01
blr_75-66.jpg,17.14
blr_75-7.jpg,0.48
blr_75-8.jpg,1.15
blr_75-9.jpg,1.72
blr_76-1.jpg,1.27
blr_76-10.jpg,7.45
blr_76-11.jpg,6.91
blr_76-12.jpg,6.03
blr_76-13.jpg,8.54
blr_76-14.jpg,12.18
blr_76-15.jpg,28.33
blr_76-16.jpg,22.28
blr_76-17.jpg,31.54
blr_76-18.jpg,11.0
blr_76-19.jpg,3.22
blr_76-2.jpg,1.96
blr_76-20.jpg,8.24
blr_76-21.jpg,7.68
blr_76-22.jpg,6.09
blr_76-23.jpg,14.43
blr_76-24.jpg,31.57
blr_76-25.jpg,34.11
blr_76-26.jpg,38.06
blr_76-27.jpg,43.33
blr_76-28.jpg,36.8
blr_76-29.jpg,54.37
blr_76-3.jpg,2.1
blr_76-30.jpg,58.27
blr_76-31.jpg,82.22
blr_76-32.jpg,43.61
blr_74-33.jpg,3.45
blr_74-34.jpg,2.69
blr_74-35.jpg,2.94
blr_74-36.jpg,15.05
blr_74-37.jpg,68.28
blr_74-38.jpg,35.55
blr_74-39.jpg,11.84
blr_74-4.jpg,0.0
blr_74-40.jpg,8.89
blr_74-41.jpg,0.62
blr_74-42.jpg,0.77
blr_74-43.jpg,3.31
blr_74-44.jpg,2.6
blr_74-45.jpg,3.16
blr_74-46.jpg,0.89
blr_74-47.jpg,0.76
blr_74-48.jpg,1.01
blr_74-49.jpg,0.38
blr_74-5.jpg,0.31
blr_74-50.jpg,0.39
blr_74-51.jpg,8.56
blr_74-52.jpg,5.78
blr_74-53.jpg,1.32
blr_74-54.jpg,2.1
blr_74-55.jpg,3.55
blr_74-56.jpg,5.83
blr_74-57.jpg,1.27
blr_74-58.jpg,1.44
blr_74-59.jpg,3.44
blr_74-6.jpg,0.85
blr_74-60.jpg,4.02
blr_74-61.jpg,7.04
blr_74-62.jpg,2.15
blr_72-18.jpg,0.42
blr_72-19.jpg,5.47
blr_72-2.jpg,1.19
blr_72-20.jpg,13.18
blr_72-21.jpg,1.59
blr_72-22.jpg,4.65
blr_72-23.jpg,4.47
blr_72-24.jpg,1.15
blr_72-25.jpg,15.35
blr_72-26.jpg,8.02
blr_72-27.jpg,19.3
blr_72-28.jpg,2.14
blr_72-29.jpg,2.37
blr_72-3.jpg,4.3
blr_72-30.jpg,4.13
blr_72-31.jpg,6.6
blr_72-32.jpg,15.26
blr_1-26.jpg,6.3
blr_1-43.jpg,2.15
blr_1-65.jpg,59.96
blr_10-36.jpg,9.73
blr_10-56.jpg,4.18
blr_11-15.jpg,0.5
blr_11-34.jpg,2.54
blr_11-59.jpg,3.13
blr_12-18.jpg,15.85
blr_12-38.jpg,0.64
blr_12-8.jpg,4.12
blr_13-25.jpg,0.23
blr_13-45.jpg,0.6
blr_14-13.jpg,1.16
blr_14-32.jpg,4.38
blr_14-53.jpg,2.72
blr_15-12.jpg,9.64
blr_69-62.jpg,23.72
blr_69-63.jpg,11.11
