Area,Percentage,xval,yval
bangalore_1-1.jpg,2.5,1,1
bangalore_1-10.jpg,13.93,1,10
bangalore_1-100.jpg,14.8,1,100
bangalore_1-101.jpg,16.75,1,101
bangalore_1-102.jpg,23.04,1,102
bangalore_1-103.jpg,32.84,1,103
bangalore_1-104.jpg,47.59,1,104
bangalore_1-105.jpg,31.74,1,105
bangalore_1-106.jpg,61.52,1,106
bangalore_1-107.jpg,39.12,1,107
bangalore_1-108.jpg,3.09,1,108
bangalore_1-109.jpg,19.92,1,109
bangalore_1-11.jpg,6.04,1,11
bangalore_1-110.jpg,33.75,1,110
bangalore_1-111.jpg,16.05,1,111
bangalore_1-112.jpg,22.4,1,112
bangalore_1-113.jpg,12.37,1,113
bangalore_1-12.jpg,9.07,1,12
bangalore_1-13.jpg,15.33,1,13
bangalore_1-14.jpg,7.4,1,14
bangalore_1-15.jpg,2.04,1,15
bangalore_1-16.jpg,5.24,1,16
bangalore_1-17.jpg,3.1,1,17
bangalore_1-18.jpg,0.09,1,18
bangalore_1-19.jpg,8.36,1,19
bangalore_1-2.jpg,3.72,1,2
bangalore_1-20.jpg,3.09,1,20
bangalore_1-21.jpg,10.94,1,21
bangalore_1-22.jpg,3.37,1,22
bangalore_1-23.jpg,11.56,1,23
bangalore_1-24.jpg,1.26,1,24
bangalore_1-25.jpg,8.54,1,25
bangalore_1-26.jpg,4.56,1,26
bangalore_1-27.jpg,0.76,1,27
bangalore_1-28.jpg,19.78,1,28
bangalore_1-29.jpg,9.45,1,29
bangalore_1-3.jpg,1.81,1,3
bangalore_1-30.jpg,9.61,1,30
bangalore_1-31.jpg,9.94,1,31
bangalore_1-32.jpg,8.78,1,32
bangalore_1-33.jpg,5.19,1,33
bangalore_1-34.jpg,1.75,1,34
bangalore_1-35.jpg,6.12,1,35
bangalore_1-36.jpg,4.16,1,36
bangalore_1-37.jpg,1.01,1,37
bangalore_1-38.jpg,6.63,1,38
bangalore_1-39.jpg,6.42,1,39
bangalore_1-4.jpg,18.62,1,4
bangalore_1-40.jpg,0.51,1,40
bangalore_1-41.jpg,1.92,1,41
bangalore_1-42.jpg,9.32,1,42
bangalore_1-43.jpg,9.39,1,43
bangalore_1-44.jpg,1.32,1,44
bangalore_1-45.jpg,3.57,1,45
bangalore_1-46.jpg,1.53,1,46
bangalore_1-47.jpg,1.84,1,47
bangalore_1-48.jpg,4.03,1,48
bangalore_1-49.jpg,11.81,1,49
bangalore_1-5.jpg,12.01,1,5
bangalore_1-50.jpg,9.79,1,50
bangalore_1-51.jpg,29.22,1,51
bangalore_1-52.jpg,27.82,1,52
bangalore_1-53.jpg,14.07,1,53
bangalore_1-54.jpg,29.28,1,54
bangalore_1-55.jpg,34.83,1,55
bangalore_1-56.jpg,18.34,1,56
bangalore_1-57.jpg,25.07,1,57
bangalore_1-58.jpg,12.39,1,58
bangalore_1-59.jpg,3.88,1,59
bangalore_1-6.jpg,4.65,1,6
bangalore_1-60.jpg,8.33,1,60
bangalore_1-61.jpg,7.61,1,61
bangalore_1-62.jpg,14.45,1,62
bangalore_1-63.jpg,11.15,1,63
bangalore_1-64.jpg,1.68,1,64
bangalore_1-65.jpg,1.21,1,65
bangalore_1-66.jpg,1.89,1,66
bangalore_1-67.jpg,1.09,1,67
bangalore_1-68.jpg,5.14,1,68
bangalore_1-69.jpg,13.32,1,69
bangalore_1-7.jpg,0.55,1,7
bangalore_1-70.jpg,19.49,1,70
bangalore_1-71.jpg,33.85,1,71
bangalore_1-72.jpg,4.63,1,72
bangalore_1-73.jpg,6.01,1,73
bangalore_1-74.jpg,12.0,1,74
bangalore_1-75.jpg,7.07,1,75
bangalore_1-76.jpg,2.19,1,76
bangalore_1-77.jpg,6.12,1,77
bangalore_1-78.jpg,12.33,1,78
bangalore_1-79.jpg,18.87,1,79
bangalore_1-8.jpg,7.67,1,8
bangalore_1-80.jpg,22.33,1,80
